@jorek_model:   199
@n_tor:     3
@n_plane:     4
@n_period:     1
@plottable: energies growth_rates times
@variable_names: Flux        Potential   Current     Vorticity   Density     Temperature
@n_times:     1
@times_xlabel: time step
@times_ylabel: normalized time
@times: "step"     "time"
@n_energies:     6
@energies_xlabel: normalized time
@energies_ylabel: normalized energy
@energies: "time"           "E_{mag,00,cos}" "E_{mag,01,cos}" "E_{mag,01,sin}" "E_{kin,00,cos}" "E_{kin,01,cos}" "E_{kin,01,sin}" 
@n_growth_rates:     6
@growth_rates_xlabel: normalized time
@growth_rates_ylabel: normalized growth rate
@growth_rates: "time"           "G_{mag,00,cos}" "G_{mag,01,cos}" "G_{mag,01,sin}" "G_{kin,00,cos}" "G_{kin,01,cos}" "G_{kin,01,sin}" 
@energies:  4.600000000E+04  2.012238217E-02  6.069509626E-20  6.069510851E-20  2.375344831E-15  2.662218401E-20  2.662196048E-20
@growth_rates:  4.550000000E+04 -5.392513103E-12  3.443161620E-04  3.443162201E-04  8.855197479E-06  3.444442145E-04  3.444442043E-04
@times:    47   4.700000000E+04
@energies:  4.700000000E+04  2.012238195E-02  1.208630293E-19  1.208630514E-19  2.219111292E-15  5.302711803E-20  5.302667365E-20
@growth_rates:  4.650000000E+04 -5.304684247E-12  3.443975035E-04  3.443974940E-04 -3.401791121E-05  3.445292951E-04  3.445293032E-04
@times:    48   4.800000000E+04
@energies:  4.800000000E+04  2.012238174E-02  2.407162073E-19  2.407162399E-19  2.174066086E-15  1.056384737E-19  1.056375869E-19
@growth_rates:  4.750000000E+04 -5.297894123E-12  3.444803806E-04  3.444803569E-04 -1.025380504E-05  3.446095976E-04  3.446095905E-04
@times:    49   4.900000000E+04
@energies:  4.900000000E+04  2.012238153E-02  4.794999796E-19  4.795000614E-19  2.026935329E-15  2.104836758E-19  2.104819117E-19
@growth_rates:  4.850000000E+04 -5.224547239E-12  3.445625876E-04  3.445626052E-04 -3.503711219E-05  3.446927308E-04  3.446927374E-04
@times:    50   5.000000000E+04
@energies:  5.000000000E+04  2.012238132E-02  9.553034407E-19  9.553036028E-19  1.925856980E-15  4.194531167E-19  4.194495962E-19
@growth_rates:  4.950000000E+04 -5.203342202E-12  3.446425886E-04  3.446425881E-04 -2.557695455E-05  3.447718295E-04  3.447718236E-04
@times:    51   5.100000000E+04
@energies:  5.100000000E+04  2.012238111E-02  1.903561594E-18  1.903561912E-18  1.836471955E-15  8.360334426E-19  8.360264350E-19
@growth_rates:  5.050000000E+04 -5.145658788E-12  3.447264524E-04  3.447264510E-04 -2.376236894E-05  3.448584279E-04  3.448584334E-04
@times:    52   5.200000000E+04
@energies:  5.200000000E+04  2.012238091E-02  3.793707146E-18  3.793707784E-18  1.715837689E-15  1.666603233E-18  1.666589247E-18
@growth_rates:  5.150000000E+04 -5.109343615E-12  3.448085125E-04  3.448085132E-04 -3.397245270E-05  3.449371132E-04  3.449371083E-04
@times:    53   5.300000000E+04
@energies:  5.300000000E+04  2.012238070E-02  7.562059901E-18  7.562061134E-18  1.722981056E-15  3.322270959E-18  3.322243119E-18
@growth_rates:  5.250000000E+04 -5.066299824E-12  3.448999735E-04  3.448999708E-04  2.077276450E-06  3.449305051E-04  3.449305110E-04
@times:    54   5.400000000E+04
@energies:  5.400000000E+04  2.012238050E-02  1.507322568E-17  1.507322821E-17  1.611450998E-15  6.625358448E-18  6.625302841E-18
@growth_rates:  5.350000000E+04 -5.016259852E-12  3.448882048E-04  3.448882070E-04 -3.346047416E-05  3.451279515E-04  3.451279449E-04
@times:    55   5.500000000E+04
@energies:  5.500000000E+04  2.012238030E-02  3.005722650E-17  3.005723140E-17  1.731329956E-15  1.321481245E-17  1.321470169E-17
@growth_rates:  5.450000000E+04 -4.988655711E-12  3.450915391E-04  3.450915369E-04  3.587742968E-05  3.452169400E-04  3.452169459E-04
@times:    56   5.600000000E+04
@energies:  5.600000000E+04  2.012238010E-02  5.994114380E-17  5.994115363E-17  1.640874635E-15  2.635970900E-17  2.635948780E-17
@growth_rates:  5.550000000E+04 -4.924793462E-12  3.451300148E-04  3.451300152E-04 -2.683023005E-05  3.452491572E-04  3.452491521E-04
@times:    57   5.700000000E+04
@energies:  5.700000000E+04  2.012237991E-02  1.195563957E-16  1.195564153E-16  1.861687611E-15  5.259098783E-17  5.259054702E-17
@growth_rates:  5.650000000E+04 -4.909403328E-12  3.452125231E-04  3.452125233E-04  6.312699011E-05  3.453540504E-04  3.453540553E-04
@times:    58   5.800000000E+04
@energies:  5.800000000E+04  2.012237971E-02  2.385070687E-16  2.385071077E-16  1.785943510E-15  1.049412774E-16  1.049403969E-16
@growth_rates:  5.750000000E+04 -4.835218892E-12  3.453053789E-04  3.453053785E-04 -2.076827075E-05  3.454280799E-04  3.454280755E-04
@times:    59   5.900000000E+04
@energies:  5.900000000E+04  2.012237952E-02  4.758755205E-16  4.758755988E-16  2.070917027E-15  2.094368873E-16  2.094351318E-16
@growth_rates:  5.850000000E+04 -4.829057376E-12  3.453786801E-04  3.453786806E-04  7.402233257E-05  3.455107547E-04  3.455107590E-04
@times:    60   6.000000000E+04
@energies:  6.000000000E+04  2.012237933E-02  9.496390423E-16  9.496391976E-16  1.990968662E-15  4.180523854E-16  4.180488780E-16
@growth_rates:  5.950000000E+04 -4.747929161E-12  3.454628242E-04  3.454628237E-04 -1.968511631E-05  3.455921542E-04  3.455921503E-04
@times:    61   6.100000000E+04
@energies:  6.100000000E+04  2.012237913E-02  1.895369026E-15  1.895369338E-15  2.288797745E-15  8.345991911E-16  8.345921953E-16
@growth_rates:  6.050000000E+04 -4.747436000E-12  3.455434391E-04  3.455434397E-04  6.970269640E-05  3.456724251E-04  3.456724290E-04
@times:    62   6.200000000E+04
@energies:  6.200000000E+04  2.012237895E-02  3.783554900E-15  3.783555517E-15  2.183896857E-15  1.666475266E-15  1.666461285E-15
@growth_rates:  6.150000000E+04 -4.663258002E-12  3.456252306E-04  3.456252299E-04 -2.345792384E-05  3.457572283E-04  3.457572247E-04
@times:    63   6.300000000E+04
@energies:  6.300000000E+04  2.012237876E-02  7.554043058E-15  7.554044302E-15  2.443024586E-15  3.328045893E-15  3.328017996E-15
@growth_rates:  6.250000000E+04 -4.664744369E-12  3.457094535E-04  3.457094542E-04  5.606301300E-05  3.458372681E-04  3.458372717E-04
@times:    64   6.400000000E+04
@energies:  6.400000000E+04  2.012237857E-02  1.508438554E-14  1.508438800E-14  2.301960967E-15  6.647404644E-15  6.647348880E-15
@growth_rates:  6.350000000E+04 -4.581545587E-12  3.457886071E-04  3.457886063E-04 -2.973775096E-05  3.459205933E-04  3.459205900E-04
@times:    65   6.500000000E+04
@energies:  6.500000000E+04  2.012237839E-02  3.012648725E-14  3.012649222E-14  2.483595280E-15  1.327955073E-14  1.327943942E-14
@growth_rates:  6.450000000E+04 -4.581623303E-12  3.458723107E-04  3.458723116E-04  3.797293301E-05  3.459994068E-04  3.459994100E-04
@times:    66   6.600000000E+04
@energies:  6.600000000E+04  2.012237821E-02  6.017785842E-14  6.017786823E-14  2.312609324E-15  2.653288693E-14  2.653266437E-14
@growth_rates:  6.550000000E+04 -4.503891038E-12  3.459498623E-04  3.459498613E-04 -3.566537786E-05  3.460798335E-04  3.460798305E-04
@times:    67   6.700000000E+04
@energies:  6.700000000E+04  2.012237803E-02  1.202258279E-13  1.202258477E-13  2.399128752E-15  5.302258040E-14  5.302213594E-14
@growth_rates:  6.650000000E+04 -4.500815498E-12  3.460336945E-04  3.460336955E-04  1.836459342E-05  3.461664441E-04  3.461664471E-04
@times:    68   6.800000000E+04
@energies:  6.800000000E+04  2.012237785E-02  2.402328993E-13  2.402329385E-13  2.223553437E-15  1.059758896E-13  1.059750007E-13
@growth_rates:  6.750000000E+04 -4.434956402E-12  3.461184967E-04  3.461184957E-04 -3.799954381E-05  3.462468717E-04  3.462468691E-04
@times:    69   6.900000000E+04
@energies:  6.900000000E+04  2.012237767E-02  4.801035641E-13  4.801036433E-13  2.219454763E-15  2.118455848E-13  2.118438091E-13
@growth_rates:  6.850000000E+04 -4.432076262E-12  3.461964862E-04  3.461964872E-04 -9.225000144E-07  3.463230122E-04  3.463230148E-04
@times:    70   7.000000000E+04
@energies:  7.000000000E+04  2.012237749E-02  9.596362119E-13  9.596363682E-13  2.077880949E-15  4.235497430E-13  4.235461907E-13
@growth_rates:  6.950000000E+04 -4.393249542E-12  3.462762138E-04  3.462762127E-04 -3.295648187E-05  3.464066641E-04  3.464066618E-04
@times:    71   7.100000000E+04
@energies:  7.100000000E+04  2.012237732E-02  1.918448994E-12  1.918449311E-12  2.004271919E-15  8.469430659E-13  8.469359667E-13
