@jorek_model:   302
@n_tor:     3
@n_plane:     8
@n_period:     8
@plottable: energies growth_rates times
@variable_names: Flux        Potential   Current     Vorticity   Density     Temperature V_parallel 
@n_times:     1
@times_xlabel: time step
@times_ylabel: normalized time
@times: "step"     "time"
@n_energies:     6
@energies_xlabel: normalized time
@energies_ylabel: normalized energy
@energies: "time"           "E_{mag,00,cos}" "E_{mag,08,cos}" "E_{mag,08,sin}" "E_{kin,00,cos}" "E_{kin,08,cos}" "E_{kin,08,sin}" 
@n_growth_rates:     6
@growth_rates_xlabel: normalized time
@growth_rates_ylabel: normalized growth rate
@growth_rates: "time"           "G_{mag,00,cos}" "G_{mag,08,cos}" "G_{mag,08,sin}" "G_{kin,00,cos}" "G_{kin,08,cos}" "G_{kin,08,sin}" 
@growth_rates:  7.500000000E+00  3.131325523E-06  0.000000000E+00  0.000000000E+00  3.630646756E-02  0.000000000E+00  0.000000000E+00
@times:    36   9.000000000E+00
@energies:  9.000000000E+00  1.844827926E-01  0.000000000E+00  0.000000000E+00  9.929020446E-08  0.000000000E+00  0.000000000E+00
@growth_rates:  8.500000000E+00  1.598372849E-06  0.000000000E+00  0.000000000E+00  2.351874750E-02  0.000000000E+00  0.000000000E+00
@times:    37   1.000000000E+01
@energies:  1.000000000E+01  1.844825989E-01  0.000000000E+00  0.000000000E+00  1.024677910E-07  0.000000000E+00  0.000000000E+00
@growth_rates:  9.500000000E+00 -5.247804065E-07  0.000000000E+00  0.000000000E+00  1.575079746E-02  0.000000000E+00  0.000000000E+00
@times:    38   1.200000000E+01
@energies:  1.200000000E+01  1.844802981E-01  0.000000000E+00  0.000000000E+00  1.085646843E-07  0.000000000E+00  0.000000000E+00
@growth_rates:  1.100000000E+01 -3.118031680E-06  0.000000000E+00  0.000000000E+00  1.444941217E-02  0.000000000E+00  0.000000000E+00
@times:    39   1.400000000E+01
@energies:  1.400000000E+01  1.844770235E-01  0.000000000E+00  0.000000000E+00  1.171986336E-07  0.000000000E+00  0.000000000E+00
@growth_rates:  1.300000000E+01 -4.437624390E-06  0.000000000E+00  0.000000000E+00  1.913101370E-02  0.000000000E+00  0.000000000E+00
@times:    40   1.600000000E+01
@energies:  1.600000000E+01  1.844747527E-01  0.000000000E+00  0.000000000E+00  1.232097840E-07  0.000000000E+00  0.000000000E+00
@growth_rates:  1.500000000E+01 -3.077323656E-06  0.000000000E+00  0.000000000E+00  1.250456114E-02  0.000000000E+00  0.000000000E+00
@times:    41   1.800000000E+01
@energies:  1.800000000E+01  1.844742364E-01  0.000000000E+00  0.000000000E+00  1.215324740E-07  0.000000000E+00  0.000000000E+00
@growth_rates:  1.700000000E+01 -6.996662294E-07  0.000000000E+00  0.000000000E+00 -3.426740182E-03  0.000000000E+00  0.000000000E+00
@times:    42   2.300000000E+01
@energies:  2.300000000E+01  1.844759397E-01  6.857706979E-26  6.876887664E-26  1.307177933E-07  7.549737325E-28  7.531511572E-28
@growth_rates:  2.050000000E+01  9.232895397E-07  0.000000000E+00  0.000000000E+00  7.285924740E-03  0.000000000E+00  0.000000000E+00
@times:    43   2.800000000E+01
@energies:  2.800000000E+01  1.844762300E-01  1.160824225E-25  1.164852084E-25  1.379935944E-07  8.850097900E-27  8.879726193E-27
@growth_rates:  2.550000000E+01  1.573988155E-07  5.263422580E-02  5.270130302E-02  5.416651652E-03  2.461500843E-01  2.467260054E-01
@times:    44   3.300000000E+01
@energies:  3.300000000E+01  1.844743245E-01  2.455267889E-27  2.376339694E-27  1.571629168E-07  1.710969466E-26  1.716753149E-26
@growth_rates:  3.050000000E+01 -1.032948506E-06 -3.856064602E-01 -3.892202938E-01  1.300756873E-02  6.592167209E-02  6.592491734E-02
